"","Var1","Freq"
"1","0",135
"2","1",636
"3","2",578
"4","3",473
"5","4",378
"6","5",374
"7","6",319
"8","7",234
"9","8",216
"10","9",210
"11","10",209
"12","11",198
"13","12",191
"14","13",176
"15","14",166
"16","15",150
"17","16",147
"18","17",123
"19","18",109
"20","19",95
"21","20",92
"22","21",72
"23","22",70
"24","23",65
"25","24",64
"26","25",63
"27","26",61
"28","27",58
"29","28",57
"30","29",55
"31","30",53
"32","31",52
"33","32",51
"34","33",46
"35","34",44
"36","35",44
"37","36",43
"38","37",41
"39","38",39
"40","39",38
"41","40",37
"42","41",35
"43","42",33
"44","43",33
"45","44",32
"46","45",32
"47","46",28
"48","47",28
