"","moduleColors","Freq"
"1","antiquewhite4",22
"2","bisque4",39
"3","black",211
"4","blue",578
"5","brown",461
"6","brown4",39
"7","coral1",23
"8","coral2",22
"9","cyan",123
"10","darkgreen",69
"11","darkgrey",64
"12","darkmagenta",52
"13","darkolivegreen",55
"14","darkorange",62
"15","darkorange2",40
"16","darkred",90
"17","darkseagreen4",27
"18","darkslateblue",37
"19","darkturquoise",69
"20","floralwhite",41
"21","green",235
"22","greenyellow",160
"23","grey",132
"24","grey60",114
"25","honeydew1",27
"26","ivory",42
"27","lavenderblush3",28
"28","lightcyan",114
"29","lightcyan1",42
"30","lightgreen",97
"31","lightpink4",28
"32","lightsteelblue1",44
"33","lightyellow",97
"34","magenta",193
"35","maroon",30
"36","mediumpurple3",44
"37","midnightblue",116
"38","navajowhite2",31
"39","orange",62
"40","orangered4",44
"41","paleturquoise",59
"42","palevioletred3",32
"43","pink",195
"44","plum1",46
"45","plum2",36
"46","purple",177
"47","red",235
"48","royalblue",93
"49","saddlebrown",60
"50","salmon",144
"51","salmon4",33
"52","sienna3",51
"53","skyblue",62
"54","skyblue3",46
"55","steelblue",60
"56","tan",154
"57","thistle1",34
"58","thistle2",35
"59","turquoise",599
"60","violet",59
"61","white",62
"62","yellow",359
"63","yellowgreen",48
