"Status"	"SRR3725585_sorted"	"SRR3725586_sorted"	"SRR3725587_sorted"	"SRR3725588_sorted"	"SRR3725589_sorted"	"SRR3725590_sorted"	"SRR3725591_sorted"	"SRR3725592_sorted"	"SRR3725593_sorted"	"SRR3725594_sorted"	"SRR3725595_sorted"	"SRR3725596_sorted"	"SRR3725597_sorted"	"SRR3725598_sorted"	"SRR3725599_sorted"
"1"	"Assigned"	2441135	2526625	2249982	1306012	1208215	1339550	1394682	1004377	1242325	1020842	1277778	1245137	1023104	1163157	1333673
"2"	"Unassigned_Unmapped"	33711	35412	40736	26089	23822	26010	26508	32333	21367	48892	23614	27242	24931	59711	38263
"3"	"Unassigned_Read_Type"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4"	"Unassigned_Singleton"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5"	"Unassigned_MappingQuality"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6"	"Unassigned_Chimera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7"	"Unassigned_FragmentLength"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8"	"Unassigned_Duplicate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9"	"Unassigned_MultiMapping"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"10"	"Unassigned_Secondary"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11"	"Unassigned_NonSplit"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12"	"Unassigned_NoFeatures"	8060313	8178187	7141688	9110983	8559429	9655596	9991694	7279176	9057946	8495708	10125831	9477389	7993906	9398424	10569614
"13"	"Unassigned_Overlapping_Length"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"14"	"Unassigned_Ambiguity"	4045	3133	2950	1704	1434	1999	1495	1179	1241	970	984	1154	875	784	938
